User Type,Source,Medium,Browser,Device Category,Date,Pageviews
New Visitor,(direct),(none),Chrome,mobile,2020-07-15,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-27,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-24,2
New Visitor,(direct),(none),Chrome,mobile,2020-07-18,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-26,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-27,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-02,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-11,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-03,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-14,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-14,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-03,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-14,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-19,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-08,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-28,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-24,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-27,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-31,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-21,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-28,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-23,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-30,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-09,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-30,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-30,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-30,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-05,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-16,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-28,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-07,2
New Visitor,(direct),(none),Chrome,mobile,2020-08-01,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-14,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-28,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-01,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-02,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-10,1
